produkt_id,produkt_nazev,kategorie,prodejni_cena,nakladova_cena,jednotka,stav
PRD0001,Re-engineered responsive archive,Potraviny,16591.86,14287.2,l,Aktivní
PRD0002,Proactive logistical migration,Potraviny,31827.53,13318.55,m,Aktivní
PRD0003,Multi-lateral analyzing methodology,Strojírenství,13297.36,10308.51,l,Aktivní
PRD0004,Re-contextualized composite hub,Elektronika,39361.65,21247.15,m,Aktivní
PRD0005,Diverse eco-centric throughput,Textil,36642.6,15223.13,m,Aktivní
PRD0006,Customer-focused object-oriented service,Stavebnictví,17594.0,12532.67,hod,Aktivní
PRD0007,Up-sized bifurcated emulation,Elektronika,8174.69,7055.95,l,Aktivní
PRD0008,User-centric multimedia ability,Strojírenství,15969.91,6773.94,l,Aktivní
PRD0009,Balanced 24/7 encryption,Strojírenství,44402.17,36389.7,hod,Aktivní
PRD0010,Balanced methodical hierarchy,Stavebnictví,16930.63,6896.89,bal,Aktivní
PRD0011,Networked coherent conglomeration,Energie,21594.6,12377.64,m,Aktivní
PRD0012,Automated neutral website,Služby,2725.11,2001.46,m,Ukončený
PRD0013,Universal user-facing projection,Chemie,36115.8,19322.42,bal,Aktivní
PRD0014,Operative directional Graphic Interface,Textil,14905.16,12699.82,hod,Ukončený
PRD0015,Fully-configurable intangible success,Potraviny,42000.73,34575.21,ks,Aktivní
PRD0016,Intuitive encompassing archive,Energie,4427.04,2160.62,m,Aktivní
PRD0017,Re-engineered holistic capability,Chemie,4894.5,3898.58,ks,Aktivní
PRD0018,Profit-focused systematic application,Textil,42196.27,31470.96,m,Aktivní
PRD0019,Enhanced directional website,Automotive,44749.13,34344.86,m,Aktivní
PRD0020,Programmable 6thgeneration initiative,Software,18582.48,13180.13,m,Aktivní
PRD0021,Cloned maximized forecast,Služby,13201.63,8811.71,l,Plánovaný
PRD0022,Vision-oriented fault-tolerant Graphic I,Strojírenství,3128.89,1639.17,ks,Aktivní
PRD0023,Cross-group neutral knowledgebase,Energie,40418.6,28010.36,kg,Ukončený
PRD0024,Advanced holistic customer loyalty,Automotive,3096.14,2187.26,m,Ukončený
PRD0025,Implemented non-volatile toolset,Energie,34369.04,14841.21,kg,Aktivní
PRD0026,Innovative user-facing process improveme,Elektronika,14977.66,10523.27,hod,Plánovaný
PRD0027,Fully-configurable maximized hub,Energie,45027.73,22503.73,kg,Aktivní
PRD0028,Reverse-engineered modular throughput,Software,47465.28,32061.85,kg,Aktivní
PRD0029,Vision-oriented dedicated superstructure,Textil,6352.99,4372.84,kg,Aktivní
PRD0030,Quality-focused well-modulated utilizati,Strojírenství,41713.7,32163.63,ks,Aktivní
PRD0031,Fully-configurable coherent ability,Chemie,27840.39,17371.65,hod,Aktivní
PRD0032,Open-source 4thgeneration emulation,Energie,45862.24,40992.5,hod,Ukončený
PRD0033,Quality-focused grid-enabled productivit,Software,39095.2,32986.21,kg,Plánovaný
PRD0034,Team-oriented 24/7 groupware,Strojírenství,29417.31,15320.87,ks,Plánovaný
PRD0035,Adaptive well-modulated protocol,Automotive,38988.26,19772.01,l,Aktivní
PRD0036,Multi-tiered user-facing superstructure,Energie,13243.62,7583.38,hod,Aktivní
PRD0037,Integrated bi-directional database,Software,1921.41,1464.68,hod,Plánovaný
PRD0038,Progressive disintermediate instruction ,Textil,34056.6,23810.33,l,Aktivní
PRD0039,Pre-emptive analyzing circuit,Chemie,2512.08,1663.98,l,Aktivní
PRD0040,Universal even-keeled array,Chemie,16926.41,8516.93,l,Aktivní
PRD0041,Balanced discrete model,Služby,42918.83,23930.42,kg,Aktivní
PRD0042,Open-source tangible hub,Potraviny,48712.26,33048.57,l,Aktivní
PRD0043,Persevering value-added artificial intel,Stavebnictví,30268.71,25890.54,kg,Aktivní
PRD0044,Reduced bandwidth-monitored middleware,Potraviny,37060.19,19280.69,ks,Ukončený
PRD0045,Devolved scalable infrastructure,Automotive,39584.95,34327.73,m,Aktivní
PRD0046,Compatible optimizing open system,Energie,39036.8,24899.89,ks,Aktivní
PRD0047,Centralized intermediate protocol,Elektronika,9678.53,4679.91,kg,Aktivní
PRD0048,De-engineered disintermediate frame,Služby,22849.61,10076.32,l,Aktivní
PRD0049,Fundamental foreground website,Strojírenství,41184.14,26664.13,bal,Aktivní
PRD0050,Object-based tangible support,Stavebnictví,12134.81,7955.66,kg,Aktivní
PRD0051,Inverse foreground knowledge user,Software,29364.67,21292.91,l,Aktivní
PRD0052,Future-proofed discrete archive,Software,14289.22,10098.44,hod,Aktivní
PRD0053,Exclusive client-driven time-frame,Služby,42862.7,24702.2,l,Aktivní
PRD0054,Visionary optimal benchmark,Elektronika,25688.4,12014.08,m,Aktivní
PRD0055,Distributed bi-directional concept,Elektronika,32386.21,19413.23,kg,Aktivní
PRD0056,Organized maximized functionalities,Chemie,30436.78,13042.08,m,Aktivní
PRD0057,Open-source bottom-line monitoring,Služby,42586.73,28554.44,m,Aktivní
PRD0058,Multi-channeled zero administration data,Textil,33875.95,16526.2,hod,Aktivní
PRD0059,Organized fault-tolerant Local Area Netw,Potraviny,417.01,166.92,hod,Plánovaný
PRD0060,Fundamental bottom-line array,Strojírenství,30472.05,22877.26,m,Aktivní
PRD0061,Diverse systemic framework,Potraviny,16847.37,12833.63,l,Aktivní
PRD0062,Triple-buffered tangible portal,Chemie,32823.17,13913.94,kg,Aktivní
PRD0063,Balanced didactic Graphic Interface,Elektronika,25888.81,20189.36,hod,Aktivní
PRD0064,Digitized background structure,Elektronika,33043.49,18491.87,bal,Aktivní
PRD0065,Fully-configurable heuristic infrastruct,Textil,49873.58,38416.96,m,Aktivní
PRD0066,Profound actuating service-desk,Energie,36849.77,22422.65,kg,Aktivní
PRD0067,Innovative empowering conglomeration,Automotive,36341.17,28666.58,bal,Aktivní
PRD0068,Assimilated impactful knowledge user,Automotive,45331.0,25569.67,l,Aktivní
PRD0069,Realigned value-added neural-net,Software,42039.9,19412.03,l,Aktivní
PRD0070,Fully-configurable bandwidth-monitored L,Automotive,23565.5,12478.89,kg,Aktivní
PRD0071,Customer-focused client-driven capabilit,Služby,32739.01,25826.93,bal,Aktivní
PRD0072,Advanced analyzing time-frame,Potraviny,21052.6,9612.16,l,Plánovaný
PRD0073,Face-to-face clear-thinking customer loy,Stavebnictví,14737.85,6991.53,ks,Plánovaný
PRD0074,Open-architected holistic software,Stavebnictví,29036.64,17122.11,kg,Ukončený
PRD0075,Self-enabling secondary artificial intel,Automotive,6034.81,3377.39,l,Aktivní
PRD0076,Reduced optimizing firmware,Software,2750.4,1300.61,kg,Aktivní
PRD0077,Compatible 3rdgeneration architecture,Stavebnictví,20489.13,12606.92,kg,Aktivní
PRD0078,Exclusive secondary intranet,Strojírenství,43126.58,34924.84,m,Aktivní
PRD0079,De-engineered background workforce,Elektronika,31570.09,25621.9,ks,Aktivní
PRD0080,Managed bottom-line analyzer,Software,13712.72,7122.43,hod,Aktivní
PRD0081,Persistent actuating concept,Strojírenství,24504.38,12698.55,kg,Plánovaný
PRD0082,Re-engineered intermediate success,Textil,21713.89,14880.42,m,Aktivní
PRD0083,Object-based modular algorithm,Potraviny,283.22,179.31,ks,Aktivní
PRD0084,Multi-tiered systemic interface,Elektronika,37854.54,24018.07,bal,Aktivní
PRD0085,Enhanced heuristic data-warehouse,Potraviny,31353.01,24317.03,l,Aktivní
PRD0086,Enterprise-wide even-keeled focus group,Chemie,5180.28,3358.54,kg,Aktivní
PRD0087,Organized coherent alliance,Chemie,41201.0,30937.78,m,Ukončený
PRD0088,Seamless regional pricing structure,Software,29838.68,21814.53,l,Aktivní
PRD0089,Fully-configurable secondary frame,Textil,17994.58,14499.8,ks,Aktivní
PRD0090,Proactive incremental neural-net,Služby,11254.85,4587.03,bal,Aktivní
PRD0091,Polarized analyzing array,Potraviny,29505.16,24061.68,bal,Aktivní
PRD0092,Grass-roots human-resource challenge,Automotive,18790.86,10895.68,hod,Aktivní
PRD0093,Operative dedicated project,Strojírenství,29716.51,26032.25,bal,Aktivní
PRD0094,Progressive dynamic product,Stavebnictví,2459.34,2071.02,m,Aktivní
PRD0095,Quality-focused 3rdgeneration implementa,Software,27386.76,18151.99,kg,Aktivní
PRD0096,Universal heuristic matrices,Automotive,15090.77,8589.18,l,Plánovaný
PRD0097,Quality-focused zero tolerance matrix,Strojírenství,30301.44,25193.17,hod,Plánovaný
PRD0098,Monitored non-volatile middleware,Strojírenství,5930.84,4999.66,m,Aktivní
PRD0099,Inverse human-resource flexibility,Automotive,30469.64,15570.61,kg,Aktivní
PRD0100,Enterprise-wide 4thgeneration functional,Elektronika,35186.67,26471.79,hod,Aktivní
PRD0101,Right-sized directional algorithm,Stavebnictví,45522.31,25305.76,l,Aktivní
PRD0102,Vision-oriented even-keeled approach,Strojírenství,186.76,105.37,hod,Aktivní
PRD0103,Phased multi-tasking help-desk,Automotive,7499.77,6411.99,ks,Aktivní
PRD0104,Visionary optimal emulation,Stavebnictví,45243.73,26143.26,l,Aktivní
PRD0105,Diverse bandwidth-monitored encryption,Software,23240.65,19756.77,ks,Aktivní
PRD0106,Switchable disintermediate flexibility,Textil,18042.72,10133.09,bal,Aktivní
PRD0107,Public-key user-facing approach,Elektronika,4795.17,2497.79,ks,Aktivní
PRD0108,Virtual directional orchestration,Potraviny,33184.58,27036.93,m,Plánovaný
PRD0109,Networked heuristic conglomeration,Potraviny,13452.05,7176.21,l,Aktivní
PRD0110,Enhanced disintermediate parallelism,Stavebnictví,5735.91,4014.42,l,Aktivní
PRD0111,Intuitive user-facing standardization,Textil,34510.63,22807.3,bal,Aktivní
PRD0112,Multi-channeled optimizing algorithm,Elektronika,5697.17,3144.35,kg,Aktivní
PRD0113,Triple-buffered tangible help-desk,Energie,20830.58,12594.69,bal,Aktivní
PRD0114,Re-contextualized non-volatile circuit,Potraviny,9103.96,6464.95,hod,Aktivní
PRD0115,Re-contextualized content-based workforc,Software,43135.66,19843.48,m,Aktivní
PRD0116,Proactive needs-based function,Elektronika,5691.23,3951.75,ks,Aktivní
PRD0117,Enhanced mobile alliance,Automotive,32765.93,29286.84,bal,Plánovaný
PRD0118,Cross-group analyzing emulation,Potraviny,36202.49,28527.84,hod,Ukončený
PRD0119,Robust directional adapter,Textil,34427.67,20342.64,bal,Aktivní
PRD0120,Progressive mission-critical ability,Textil,24122.39,13705.01,kg,Ukončený
PRD0121,Managed reciprocal customer loyalty,Elektronika,44608.49,26477.06,bal,Aktivní
PRD0122,De-engineered global structure,Stavebnictví,25303.1,16835.56,kg,Aktivní
PRD0123,Enhanced fresh-thinking approach,Potraviny,37583.93,27800.2,l,Aktivní
PRD0124,Ameliorated client-server parallelism,Textil,25371.12,15850.66,m,Aktivní
PRD0125,Triple-buffered client-server time-frame,Energie,3987.59,2703.21,m,Aktivní
PRD0126,Customizable multi-tasking hierarchy,Strojírenství,42836.63,28977.52,m,Aktivní
PRD0127,Compatible holistic strategy,Automotive,5177.03,3591.98,hod,Aktivní
PRD0128,Switchable hybrid parallelism,Energie,41304.14,20821.76,bal,Aktivní
PRD0129,Cross-platform global framework,Stavebnictví,44511.04,27544.93,l,Aktivní
PRD0130,Inverse client-driven complexity,Stavebnictví,41274.28,20294.8,l,Ukončený
PRD0131,Upgradable intermediate utilization,Potraviny,38382.45,23030.41,bal,Aktivní
PRD0132,Sharable mobile projection,Služby,5745.47,2989.6,ks,Aktivní
PRD0133,Intuitive context-sensitive strategy,Chemie,17789.19,10374.11,hod,Ukončený
PRD0134,Realigned system-worthy pricing structur,Software,18725.82,15857.75,m,Aktivní
PRD0135,Multi-channeled directional secured line,Textil,41100.84,21731.85,ks,Aktivní
PRD0136,Reverse-engineered context-sensitive imp,Textil,30562.05,24639.99,kg,Aktivní
PRD0137,Integrated upward-trending solution,Potraviny,41236.48,33183.43,ks,Aktivní
PRD0138,Implemented clear-thinking conglomeratio,Energie,2372.69,1384.18,ks,Aktivní
PRD0139,Upgradable 24hour standardization,Automotive,22896.52,13860.22,kg,Aktivní
PRD0140,Re-engineered hybrid throughput,Automotive,266.66,141.83,m,Plánovaný
PRD0141,Re-contextualized 5thgeneration continge,Software,24172.45,15611.38,bal,Plánovaný
PRD0142,Robust foreground workforce,Strojírenství,8723.83,4295.42,m,Plánovaný
PRD0143,Seamless directional productivity,Textil,30327.73,22414.56,m,Plánovaný
PRD0144,Re-contextualized bi-directional methodo,Chemie,45799.72,23761.48,m,Aktivní
PRD0145,Digitized full-range synergy,Software,48526.06,32686.05,kg,Aktivní
PRD0146,Compatible disintermediate hardware,Automotive,30146.1,13770.18,l,Ukončený
PRD0147,Intuitive composite productivity,Automotive,43042.34,23417.74,bal,Aktivní
PRD0148,Cross-group tertiary secured line,Chemie,10084.41,5928.79,bal,Aktivní
PRD0149,Sharable upward-trending groupware,Software,46063.53,38401.51,hod,Ukončený
PRD0150,Organized 24/7 firmware,Strojírenství,34730.88,25659.5,l,Ukončený
PRD0151,Expanded dynamic solution,Textil,24044.48,14779.68,bal,Ukončený
