projekt_id,projekt_nazev,stav,rozpocet,datum_zahajeni,datum_ukonceni,typ
PROJ001,Pre-emptive didactic moratorium,Aktivní,3630595.2,2023-08-08,2025-03-12,Údržba
PROJ002,De-engineered uniform orchestration,Aktivní,3933866.15,2024-08-13,2026-01-09,Investiční
PROJ003,Re-engineered methodical encryption,Plánovaný,3311964.61,2023-07-14,2023-11-17,R&D
PROJ004,Phased incremental core,Aktivní,4325991.9,2024-03-09,2025-06-02,Interní
PROJ005,Cross-platform bandwidth-monitored protocol,Dokončený,537168.46,2024-11-20,2026-10-20,Investiční
PROJ006,Optional heuristic interface,Zrušený,4315279.05,2025-01-15,2026-01-27,Zákaznický
PROJ007,Open-source maximized superstructure,Pozastavený,2270637.06,2023-07-16,2024-02-25,Investiční
PROJ008,Business-focused systematic projection,Aktivní,1286541.92,2023-07-07,2024-05-17,Interní
PROJ009,Stand-alone bandwidth-monitored approach,Plánovaný,300412.23,2024-03-29,2025-11-12,Údržba
PROJ010,Open-architected upward-trending Graphical User In,Zrušený,4251043.89,2023-01-16,2023-05-21,Zákaznický
PROJ011,Customer-focused dynamic core,Aktivní,1108049.13,2024-02-21,2025-08-01,Investiční
PROJ012,Ergonomic national knowledge user,Aktivní,60669.12,2023-03-02,2023-09-16,Investiční
PROJ013,Devolved interactive contingency,Aktivní,2143887.06,2023-09-29,2025-02-05,Údržba
PROJ014,Grass-roots maximized encryption,Aktivní,989994.44,2024-11-08,2026-04-20,Zákaznický
PROJ015,Compatible leadingedge workforce,Dokončený,2733866.25,2023-03-01,2024-11-13,R&D
PROJ016,Reactive bandwidth-monitored application,Pozastavený,2410103.16,2023-02-28,2023-05-20,Údržba
PROJ017,Streamlined needs-based access,Pozastavený,446551.75,2023-06-11,2023-09-07,Zákaznický
PROJ018,Cross-group web-enabled encoding,Plánovaný,3392302.14,2023-03-12,2024-12-10,Zákaznický
PROJ019,Down-sized incremental matrix,Pozastavený,1268765.97,2024-02-18,2024-07-19,Údržba
PROJ020,Polarized didactic initiative,Plánovaný,2125163.33,2023-02-10,2024-12-05,Údržba
PROJ021,Centralized composite implementation,Aktivní,4676795.98,2024-08-01,2026-02-17,Zákaznický
PROJ022,Adaptive human-resource firmware,Aktivní,1364791.84,2024-11-16,2025-11-02,Zákaznický
PROJ023,Persevering executive interface,Aktivní,2313261.63,2024-11-18,2026-10-09,Interní
PROJ024,Total upward-trending toolset,Pozastavený,4992349.48,2023-01-10,2024-05-23,Interní
PROJ025,Realigned stable structure,Aktivní,2554129.24,2023-03-17,2024-10-17,Zákaznický
PROJ026,Pre-emptive coherent core,Aktivní,1879159.09,2023-12-24,2024-04-02,Zákaznický
PROJ027,Implemented didactic approach,Dokončený,1547459.86,2024-03-24,2025-10-31,Údržba
PROJ028,Reduced user-facing moratorium,Zrušený,2795281.3,2023-01-09,2024-12-22,Interní
PROJ029,Centralized value-added functionalities,Plánovaný,4454077.9,2023-05-18,2024-03-13,Údržba
PROJ030,Centralized actuating paradigm,Aktivní,3043907.64,2023-06-09,2024-04-12,R&D
PROJ031,Polarized motivating moderator,Zrušený,1356720.31,2023-07-28,2025-06-06,Investiční
