stredisko_id,ucet_cislo,obdobi,plan,skutecnost,odchylka,odchylka_pct
STR001,544,2023-01,291780.39,356699.3,64918.91,22.2
STR001,544,2023-02,124641.12,132878.09,8236.97,6.6
STR001,544,2023-03,195588.52,151239.17,-44349.35,-22.7
STR001,544,2023-04,285570.38,288270.39,2700.01,0.9
STR001,544,2023-05,21338.47,20950.47,-388.0,-1.8
STR001,544,2023-06,56355.35,47569.22,-8786.13,-15.6
STR001,544,2023-07,150011.03,137816.3,-12194.73,-8.1
STR001,544,2023-08,272381.02,240638.67,-31742.35,-11.7
STR001,544,2023-09,76456.32,65365.84,-11090.48,-14.5
STR001,544,2023-10,413626.71,354342.75,-59283.96,-14.3
STR001,544,2023-11,314636.91,297455.82,-17181.09,-5.5
STR001,544,2023-12,86971.97,71526.91,-15445.06,-17.8
STR001,544,2024-01,153921.24,111305.85,-42615.39,-27.7
STR001,544,2024-02,377183.98,422673.61,45489.63,12.1
STR001,544,2024-03,409600.54,343524.29,-66076.25,-16.1
STR001,544,2024-04,199767.75,247982.17,48214.42,24.1
STR001,544,2024-05,476440.56,571884.3,95443.74,20.0
STR001,544,2024-06,40364.01,35595.22,-4768.79,-11.8
STR001,544,2024-07,284736.6,205742.88,-78993.72,-27.7
STR001,544,2024-08,225846.47,221699.92,-4146.55,-1.8
STR001,544,2024-09,257283.66,216965.87,-40317.79,-15.7
STR001,544,2024-10,365319.28,326250.35,-39068.93,-10.7
STR001,544,2024-11,340892.73,397296.77,56404.04,16.5
STR001,544,2024-12,401552.73,322209.47,-79343.26,-19.8
STR001,544,2025-01,226812.91,214843.09,-11969.82,-5.3
STR001,544,2025-02,248116.81,295539.05,47422.24,19.1
STR001,544,2025-03,436574.61,445406.36,8831.75,2.0
STR001,544,2025-04,415509.28,307295.83,-108213.45,-26.0
STR001,544,2025-05,421263.72,298929.49,-122334.23,-29.0
STR001,544,2025-06,290871.5,271478.96,-19392.54,-6.7
STR001,544,2025-07,373894.03,390182.68,16288.65,4.4
STR001,544,2025-08,339870.58,295870.33,-44000.25,-12.9
STR001,544,2025-09,86351.69,73740.45,-12611.24,-14.6
STR001,544,2025-10,41884.32,43438.68,1554.36,3.7
STR001,544,2025-11,110079.64,93485.83,-16593.81,-15.1
STR001,544,2025-12,474105.17,594328.77,120223.6,25.4
STR001,604,2023-01,249018.05,211709.11,-37308.94,-15.0
STR001,604,2023-02,203520.85,179069.79,-24451.06,-12.0
STR001,604,2023-03,409625.13,443217.6,33592.47,8.2
STR001,604,2023-04,10135.29,9202.08,-933.21,-9.2
STR001,604,2023-05,187934.76,203542.52,15607.76,8.3
