zamestnanec_id,stredisko_id,obdobi,zakladni_mzda,odmeny,hruba_mzda_celkem,soc_pojisteni_zam,zdr_pojisteni_zam,soc_pojisteni_firma,zdr_pojisteni_firma,dan_z_prijmu,cista_mzda,celkove_naklady_firma
EMP0001,STR018,2023-01,117635.0,0.0,117635.0,7646.28,5293.57,29173.48,10587.15,15704.27,88990.88,157395.63
EMP0001,STR018,2023-02,117635.0,0.0,117635.0,7646.28,5293.57,29173.48,10587.15,15704.27,88990.88,157395.63
EMP0001,STR018,2023-03,117635.0,0.0,117635.0,7646.28,5293.57,29173.48,10587.15,15704.27,88990.88,157395.63
EMP0001,STR018,2023-04,117635.0,0.0,117635.0,7646.28,5293.57,29173.48,10587.15,15704.27,88990.88,157395.63
EMP0001,STR018,2023-05,117635.0,10116.32,127751.32,7646.28,5293.57,29173.48,10587.15,15704.27,96072.304,167511.95
EMP0001,STR018,2023-06,117635.0,0.0,117635.0,7646.28,5293.57,29173.48,10587.15,15704.27,88990.88,157395.63
EMP0001,STR018,2023-07,117635.0,3746.17,121381.17,7646.28,5293.57,29173.48,10587.15,15704.27,91613.19900000001,161141.8
EMP0001,STR018,2023-08,117635.0,10318.93,127953.93,7646.28,5293.57,29173.48,10587.15,15704.27,96214.13100000001,167714.56
EMP0001,STR018,2023-09,117635.0,0.0,117635.0,7646.28,5293.57,29173.48,10587.15,15704.27,88990.88,157395.63
EMP0001,STR018,2023-10,117635.0,0.0,117635.0,7646.28,5293.57,29173.48,10587.15,15704.27,88990.88,157395.63
EMP0001,STR018,2023-11,117635.0,0.0,117635.0,7646.28,5293.57,29173.48,10587.15,15704.27,88990.88,157395.63
EMP0001,STR018,2023-12,117635.0,0.0,117635.0,7646.28,5293.57,29173.48,10587.15,15704.27,88990.88,157395.63
EMP0001,STR018,2024-01,117635.0,0.0,117635.0,7646.28,5293.57,29173.48,10587.15,15704.27,88990.88,157395.63
EMP0001,STR018,2024-02,117635.0,8910.49,126545.49,7646.28,5293.57,29173.48,10587.15,15704.27,95228.223,166306.12
EMP0001,STR018,2024-03,117635.0,0.0,117635.0,7646.28,5293.57,29173.48,10587.15,15704.27,88990.88,157395.63
EMP0001,STR018,2024-04,117635.0,0.0,117635.0,7646.28,5293.57,29173.48,10587.15,15704.27,88990.88,157395.63
EMP0001,STR018,2024-05,117635.0,0.0,117635.0,7646.28,5293.57,29173.48,10587.15,15704.27,88990.88,157395.63
EMP0001,STR018,2024-06,117635.0,0.0,117635.0,7646.28,5293.57,29173.48,10587.15,15704.27,88990.88,157395.63
EMP0001,STR018,2024-07,117635.0,0.0,117635.0,7646.28,5293.57,29173.48,10587.15,15704.27,88990.88,157395.63
EMP0001,STR018,2024-08,117635.0,0.0,117635.0,7646.28,5293.57,29173.48,10587.15,15704.27,88990.88,157395.63
EMP0001,STR018,2024-09,117635.0,0.0,117635.0,7646.28,5293.57,29173.48,10587.15,15704.27,88990.88,157395.63
EMP0001,STR018,2024-10,117635.0,0.0,117635.0,7646.28,5293.57,29173.48,10587.15,15704.27,88990.88,157395.63
EMP0001,STR018,2024-11,117635.0,0.0,117635.0,7646.28,5293.57,29173.48,10587.15,15704.27,88990.88,157395.63
EMP0001,STR018,2024-12,117635.0,0.0,117635.0,7646.28,5293.57,29173.48,10587.15,15704.27,88990.88,157395.63
EMP0001,STR018,2025-01,117635.0,0.0,117635.0,7646.28,5293.57,29173.48,10587.15,15704.27,88990.88,157395.63
EMP0001,STR018,2025-02,117635.0,0.0,117635.0,7646.28,5293.57,29173.48,10587.15,15704.27,88990.88,157395.63
EMP0001,STR018,2025-03,117635.0,0.0,117635.0,7646.28,5293.57,29173.48,10587.15,15704.27,88990.88,157395.63
EMP0001,STR018,2025-04,117635.0,0.0,117635.0,7646.28,5293.57,29173.48,10587.15,15704.27,88990.88,157395.63
EMP0001,STR018,2025-05,117635.0,0.0,117635.0,7646.28,5293.57,29173.48,10587.15,15704.27,88990.88,157395.63
EMP0001,STR018,2025-06,117635.0,0.0,117635.0,7646.28,5293.57,29173.48,10587.15,15704.27,88990.88,157395.63
EMP0001,STR018,2025-07,117635.0,379.94,118014.94,7646.28,5293.57,29173.48,10587.15,15704.27,89256.838,157775.57
