zakazka_id,produkt_id,planovane_mnozstvi,datum_zahajeni,datum_ukonceni,stredisko_id,naklady_material,naklady_prace,naklady_rezie,celkove_naklady,stav,vyuziti_kapacity,zmetky
VZ000001,PRD0234,195,2023-11-30,2024-01-08,STR041,481585.48,383468.11,187176.03,1052229.62,Dokončeno,1.017,6
VZ000002,PRD0191,3612,2024-04-09,2024-05-12,STR031,220155.7,128836.53,49392.92,398385.15,Dokončeno,0.888,98
VZ000003,PRD0110,1239,2024-05-07,2024-06-20,STR021,61634.92,47693.67,26929.59,136258.18,V výrobě,0.906,16
VZ000004,PRD0272,413,2024-09-14,2024-10-16,STR001,150507.24,43901.29,39118.72,233527.25,V výrobě,0.852,15
VZ000005,PRD0093,3237,2023-11-29,2024-01-10,STR001,186162.86,98865.78,57996.12,343024.76,Dokončeno,0.93,64
VZ000006,PRD0225,3409,2025-03-22,2025-05-05,STR041,247015.61,50714.14,19372.13,317101.88,V výrobě,0.95,44
VZ000007,PRD0111,2727,2024-04-02,2024-04-03,STR031,453850.92,201930.47,69108.77,724890.16,V výrobě,0.972,134
VZ000008,PRD0170,2102,2023-07-15,2023-08-19,STR001,218454.71,140613.59,35393.79,394462.09,Dokončeno,1.03,45
VZ000009,PRD0043,4260,2023-02-01,2023-02-28,STR001,345748.12,179516.33,40781.22,566045.67,Dokončeno,0.994,144
VZ000010,PRD0275,4175,2025-05-06,2025-05-20,STR011,250651.09,70039.25,24721.4,345411.74,Zrušeno,0.909,131
VZ000011,PRD0019,3848,2023-05-28,2023-06-23,STR021,153205.76,111990.58,39227.04,304423.38,Dokončeno,1.011,8
VZ000012,PRD0068,440,2024-08-19,2024-09-16,STR021,150093.66,50217.85,16821.05,217132.56,Pozastaveno,0.996,6
VZ000013,PRD0264,917,2024-01-19,2024-01-28,STR001,155627.32,32279.22,21465.64,209372.18,Zrušeno,1.036,24
VZ000014,PRD0062,75,2025-04-04,2025-05-08,STR021,160477.07,62567.51,47439.88,270484.46,V výrobě,1.046,3
VZ000015,PRD0127,3486,2024-10-10,2024-11-03,STR031,134345.77,96986.89,34434.26,265766.92,Dokončeno,0.883,28
VZ000016,PRD0225,103,2023-09-03,2023-09-30,STR021,427963.35,199128.57,63881.05,690972.97,Zrušeno,0.869,5
VZ000017,PRD0206,2205,2023-06-04,2023-06-21,STR011,13440.13,2720.78,3336.37,19497.28,Zrušeno,0.946,14
VZ000018,PRD0101,601,2024-09-30,2024-10-01,STR001,9829.73,2613.24,1421.67,13864.64,Dokončeno,0.851,6
VZ000019,PRD0205,2062,2024-10-24,2024-11-26,STR011,110748.3,27679.92,19827.94,158256.16,V výrobě,0.92,27
VZ000020,PRD0211,2765,2023-08-05,2023-08-10,STR041,185455.95,118823.4,61502.54,365781.89,Dokončeno,1.033,50
VZ000021,PRD0189,1621,2023-02-09,2023-02-17,STR001,231233.32,66688.82,73562.34,371484.48,Zrušeno,0.892,20
VZ000022,PRD0026,4707,2024-01-21,2024-02-18,STR001,320486.19,114832.87,79230.91,514549.97,V výrobě,0.879,117
VZ000023,PRD0191,4797,2023-01-25,2023-02-20,STR041,282720.96,121777.89,97485.78,501984.63,Zrušeno,0.958,77
VZ000024,PRD0297,4430,2024-03-28,2024-04-15,STR041,71923.42,35302.15,19134.63,126360.2,V výrobě,0.853,0
